from	to	direction	method	weight
Proteasome-associated protein ECM29 homolog	Serine/threonine kinase-like domain-containing protein STKLD1	0	M0039	0.115017191935806
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.138831449319623
Proteasome-associated protein ECM29 homolog	uncharacterized protein LOC106175327 {ECO:0000313|RefSeq:XP_013412722.1}	0	M0039	0.113637490197824
Proteasome-associated protein ECM29 homolog	Collagen triple helix repeat-containing protein 1	0	M0039	0.0296808100471078
Proteasome-associated protein ECM29 homolog	Probable helicase senataxin {ECO:0000305}	0	M0039	0.0801937843745759
Proteasome-associated protein ECM29 homolog	TNF receptor-associated factor 4	0	M0039	0.0339383132582184
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:ESW24283.1}	0	M0039	0.107946027127058
Proteasome-associated protein ECM29 homolog	"Acyl-CoA synthetase family member 2, mitochondrial"	0	M0039	0.121276637379045
Proteasome-associated protein ECM29 homolog	Protein MMS22-like	0	M0039	0.142852615299278
Proteasome-associated protein ECM29 homolog	Chymotrypsinogen B	0	M0039	0.0725567147860011
Proteasome-associated protein ECM29 homolog	X-ray repair cross-complementing protein 5	0	M0039	0.0438766018931164
Proteasome-associated protein ECM29 homolog	Proteasome subunit alpha type-1	0	M0039	0.0614214610114954
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_024592-tr}	0	M0039	0.0426305288930415
Proteasome-associated protein ECM29 homolog	Putative leucine-rich repeat-containing protein DDB_G0290503	0	M0039	0.127090423887776
Proteasome-associated protein ECM29 homolog	Protein canopy homolog 4	0	M0039	0.131762802250258
Proteasome-associated protein ECM29 homolog	GPI transamidase component PIG-T	0	M0039	0.0342141065448956
Proteasome-associated protein ECM29 homolog	Translin	0	M0039	0.0562352886077783
Proteasome-associated protein ECM29 homolog	Protein CfxQ	0	M0039	0.0540370866703025
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:EEN51518.1}	0	M0039	0.119748092510296
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_016145-tr}	0	M0039	0.106254430293071
Proteasome-associated protein ECM29 homolog	Conserved oligomeric Golgi complex subunit 6	0	M0039	0.0670648312106634
Proteasome-associated protein ECM29 homolog	Tyrocidine synthase 2	0	M0039	0.124254514406307
Proteasome-associated protein ECM29 homolog	Shematrin-like protein 1	0	M0039	0.0378833433903718
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0952863483861595
Proteasome-associated protein ECM29 homolog	Putative IQ motif and ankyrin repeat domain-containing protein LOC642574	0	M0039	0.105937435995388
Proteasome-associated protein ECM29 homolog	Small subunit processome component 20 homolog	0	M0039	0.085809069540251
Proteasome-associated protein ECM29 homolog	Coiled-coil domain-containing protein 171	0	M0039	0.142491954462988
Proteasome-associated protein ECM29 homolog	Polyamine oxidase	0	M0039	0.0698327936336918
Proteasome-associated protein ECM29 homolog	Cilia- and flagella-associated protein 46 {ECO:0000305}	0	M0039	0.0748213056674544
Proteasome-associated protein ECM29 homolog	Katanin p60 ATPase-containing subunit A-like 1 {ECO:0000255|HAMAP-Rule:MF_03024}	0	M0039	0.0884452167022839
Proteasome-associated protein ECM29 homolog	"Arginine--tRNA ligase, cytoplasmic"	0	M0039	0.10261773926346
Proteasome-associated protein ECM29 homolog	Tektin-1	0	M0039	0.110668262174253
Proteasome-associated protein ECM29 homolog	Gamma-glutamyl hydrolase A	0	M0039	0.0330691170769818
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.111419467016775
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:KRG68574.1}	0	M0039	0.120823113968903
Proteasome-associated protein ECM29 homolog	Fatty acyl-CoA reductase 1 {ECO:0000250|UniProtKB:Q8WVX9}	0	M0039	0.0812020940764081
Proteasome-associated protein ECM29 homolog	Eukaryotic translation initiation factor 3 subunit D {ECO:0000255|HAMAP-Rule:MF_03003}	0	M0039	0.124787096492213
Proteasome-associated protein ECM29 homolog	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	0	M0039	0.0301963252974533
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0711547174707283
Proteasome-associated protein ECM29 homolog	Diphthine--ammonia ligase	0	M0039	0.124442114076986
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.034057773840186
Proteasome-associated protein ECM29 homolog	Proteasome subunit alpha type-6	0	M0039	0.0678019122450276
Proteasome-associated protein ECM29 homolog	Phosphoribosyl pyrophosphate synthase-associated protein 2	0	M0039	0.0376632718991431
Proteasome-associated protein ECM29 homolog	Urocanate hydratase	0	M0039	0.0573468009351332
Proteasome-associated protein ECM29 homolog	Pre-mRNA-splicing regulator WTAP	0	M0039	0.115066540896352
Proteasome-associated protein ECM29 homolog	Calmodulin	0	M0039	0.122852092403053
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0795549269093558
Proteasome-associated protein ECM29 homolog	Unhealthy ribosome biogenesis protein 2 homolog	0	M0039	0.119694032603827
Proteasome-associated protein ECM29 homolog	Leucine-rich repeat-containing protein 74A {ECO:0000312|HGNC:HGNC:23346}	0	M0039	0.0373970087992153
Proteasome-associated protein ECM29 homolog	Coiled-coil domain-containing protein 87	0	M0039	0.0632398729118028
Proteasome-associated protein ECM29 homolog	Chondroitin sulfate synthase 1	0	M0039	0.134653074378574
Proteasome-associated protein ECM29 homolog	Coiled-coil domain-containing protein 60	0	M0039	0.124387168280311
Proteasome-associated protein ECM29 homolog	Tetratricopeptide repeat protein 41 {ECO:0000250|UniProtKB:Q692V3}	0	M0039	0.0731910197626034
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0851326975384535
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0769565116172261
Proteasome-associated protein ECM29 homolog	Probable palmitoyltransferase ZDHHC12	0	M0039	0.0428941963349803
Proteasome-associated protein ECM29 homolog	Centromere protein I	0	M0039	0.127723727128242
Proteasome-associated protein ECM29 homolog	WD repeat-containing protein 34	0	M0039	0.135310913921697
Proteasome-associated protein ECM29 homolog	Dihydropteridine reductase	0	M0039	0.0806027936920621
Proteasome-associated protein ECM29 homolog	uncharacterized protein LOC106159339 isoform X1 {ECO:0000313|RefSeq:XP_013391056.1}	0	M0039	0.0429923513625047
Proteasome-associated protein ECM29 homolog	Uncharacterized protein C7orf31	0	M0039	0.0832246272934229
Proteasome-associated protein ECM29 homolog	"Beta-1,3-galactosyltransferase 6"	0	M0039	0.0707015987728655
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0790440385435336
Proteasome-associated protein ECM29 homolog	Odorant/gustatory chemosensory receptor-like 122 {ECO:0000313|EMBL:ALR88638.1}	0	M0039	0.122027057954128
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0224478373761418
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:EQK97469.1}	0	M0039	0.163058686166488
Proteasome-associated protein ECM29 homolog	Dynein regulatory complex subunit 3	0	M0039	0.0826759405705486
Proteasome-associated protein ECM29 homolog	Ninjurin-2	0	M0039	0.0495049204554823
Proteasome-associated protein ECM29 homolog	Protein CBG01536 {ECO:0000313|EMBL:CAP22721.1}	0	M0039	0.14140537284176
Proteasome-associated protein ECM29 homolog	Uncharacterized protein C17orf98	0	M0039	0.0417827634563139
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0607857143400212
Proteasome-associated protein ECM29 homolog	Cilia- and flagella-associated protein 61 {ECO:0000312|HGNC:HGNC:15872}	0	M0039	0.115629033781601
Proteasome-associated protein ECM29 homolog	Centrosomal protein of 131 kDa	0	M0039	0.109053946711796
Proteasome-associated protein ECM29 homolog	uncharacterized protein LOC106171653 {ECO:0000313|RefSeq:XP_013407545.1}	0	M0039	0.154794355982383
Proteasome-associated protein ECM29 homolog	DNA damage-regulated autophagy modulator protein 2	0	M0039	0.0377723931405997
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.108217269555048
Proteasome-associated protein ECM29 homolog	Guanylate-binding protein 2	0	M0039	0.0715125012692335
Proteasome-associated protein ECM29 homolog	Anaphase-promoting complex subunit 5	0	M0039	0.163364535140191
Proteasome-associated protein ECM29 homolog	Uncharacterized protein KIAA0895-like	0	M0039	0.0298006482233812
Proteasome-associated protein ECM29 homolog	No_Description	0	M0039	0.0555521933725225
Proteasome-associated protein ECM29 homolog	tRNA selenocysteine 1-associated protein 1	0	M0039	0.137955497835769
Proteasome-associated protein ECM29 homolog	Unconventional myosin-XIX {ECO:0000250|UniProtKB:Q96H55}	0	M0039	0.173892031876424
Proteasome-associated protein ECM29 homolog	Arachidonate 5-lipoxygenase	0	M0039	0.0385812527386497
Proteasome-associated protein ECM29 homolog	E3 ubiquitin-protein ligase BRE1A	0	M0039	0.0264127506166671
Proteasome-associated protein ECM29 homolog	Sorting and assembly machinery component 50 homolog	0	M0039	0.0679432934615698
Proteasome-associated protein ECM29 homolog	WD repeat-containing protein 49	0	M0039	0.126218967478292
Proteasome-associated protein ECM29 homolog	Neudesin	0	M0039	0.0190900144522853
Proteasome-associated protein ECM29 homolog	Bone morphogenetic protein 1	0	M0039	0.150115160782319
Proteasome-associated protein ECM29 homolog	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"	0	M0039	0.0823514379474978
Proteasome-associated protein ECM29 homolog	AP-4 complex subunit beta-1	0	M0039	0.022457755404857
Proteasome-associated protein ECM29 homolog	Adenylate cyclase CyaB	0	M0039	0.0514424846320883
Proteasome-associated protein ECM29 homolog	"Actin, cytoplasmic 1"	0	M0039	0.0983098514000244
Proteasome-associated protein ECM29 homolog	S-antigen protein	0	M0039	0.0570085669753169
Proteasome-associated protein ECM29 homolog	Uncharacterized protein {ECO:0000313|EMBL:OAO98017.1}	0	M0039	0.0454076369899514
Proteasome-associated protein ECM29 homolog	CGG triplet repeat-binding protein 1	0	M0039	0.0511380528521422
Proteasome-associated protein ECM29 homolog	Fez family zinc finger protein 2	0	M0039	0.0749533927975937
Proteasome-associated protein ECM29 homolog	Zinc finger protein 724 {ECO:0000305}	0	M0039	0.0504872375370331
Proteasome-associated protein ECM29 homolog	"Probable citrate synthase 2, mitochondrial"	0	M0039	0.0741755049429541
Proteasome-associated protein ECM29 homolog	Mitogen-activated protein kinase-binding protein 1	0	M0039	0.186748463887065
Proteasome-associated protein ECM29 homolog	Putative sodium-coupled neutral amino acid transporter 10	0	M0039	0.124595065656634
Proteasome-associated protein ECM29 homolog	Potassium voltage-gated channel subfamily B member 1 {ECO:0000250|UniProtKB:Q14721}	0	M0039	0.0222694057512783
Proteasome-associated protein ECM29 homolog	Uncharacterized protein C6orf106 homolog	0	M0039	0.0448948100412402
Proteasome-associated protein ECM29 homolog	Serine/threonine/tyrosine-interacting-like protein 1	0	M0039	0.0729525049675553
Proteasome-associated protein ECM29 homolog	RNA pseudouridylate synthase domain-containing protein 2	0	M0039	0.0967913771307609
Proteasome-associated protein ECM29 homolog	Kinesin-like protein KIF2A	0	M0039	0.113822498174359
Proteasome-associated protein ECM29 homolog	DnaJ homolog subfamily C member 1	0	M0039	0.0548473041066798
Proteasome-associated protein ECM29 homolog	Stress-activated protein kinase JNK	0	M0039	0.136084029767642
Proteasome-associated protein ECM29 homolog	S-phase kinase-associated protein 2	0	M0039	0.0957161631945197
Proteasome-associated protein ECM29 homolog	DDB1- and CUL4-associated factor 1 {ECO:0000250|UniProtKB:Q9Y4B6}	0	M0039	0.128108095140791
Proteasome-associated protein ECM29 homolog	DnaJ homolog subfamily C member 25	0	M0039	0.0675303999686047
Proteasome-associated protein ECM29 homolog	BTB/POZ domain-containing protein 19	0	M0039	0.0519336471465076
Proteasome-associated protein ECM29 homolog	"Adrenodoxin-like protein, mitochondrial"	0	M0039	0.0642656380795025
Proteasome-associated protein ECM29 homolog	Adenylate kinase 8	0	M0039	0.0218037066483407
Proteasome-associated protein ECM29 homolog	Protein CASC1	0	M0039	0.0785446617289091
Proteasome-associated protein ECM29 homolog	Antho-RFamide neuropeptides type 1	0	M0039	0.0543485869142506
Proteasome-associated protein ECM29 homolog	La-related protein CG11505	0	M0039	0.106742894013064
Proteasome-associated protein ECM29 homolog	Cilia- and flagella-associated protein 43 {ECO:0000312|HGNC:HGNC:26684}	0	M0039	0.11670205213183
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EMBL:KFM78499.1}	0	M0039	0.155101005113409
Paternally-expressed gene 3 protein	DNA repair protein XRCC1	0	M0039	0.0690030028644438
Paternally-expressed gene 3 protein	Proteasome subunit alpha type-1	0	M0039	0.0606902986863373
Paternally-expressed gene 3 protein	NADP-dependent oxidoreductase domain-containing protein 1	0	M0039	0.0772516756947312
Paternally-expressed gene 3 protein	Rhodopsin	0	M0039	0.151039728409002
Paternally-expressed gene 3 protein	SEC14-like protein 2	0	M0039	0.0246895904741306
Paternally-expressed gene 3 protein	Nuclear pore complex protein Nup88	0	M0039	0.109841201195784
Paternally-expressed gene 3 protein	Trifunctional purine biosynthetic protein adenosine-3	0	M0039	0.10450910750909
Paternally-expressed gene 3 protein	Cytochrome P450 3A24	0	M0039	0.0531211311816924
Paternally-expressed gene 3 protein	Histone deacetylase 6	0	M0039	0.0257344177871811
Paternally-expressed gene 3 protein	Putative acyl-CoA synthetase YngI	0	M0039	0.102560540424854
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EMBL:CDI83792.1}	0	M0039	0.0470960577662595
Paternally-expressed gene 3 protein	UDP-glucuronosyltransferase 1-2	0	M0039	0.0458959596384563
Paternally-expressed gene 3 protein	Transcription initiation factor IIB	0	M0039	0.0486613423840245
Paternally-expressed gene 3 protein	D(1)-like dopamine receptor	0	M0039	0.149446151422948
Paternally-expressed gene 3 protein	Phosphatidylinositol 4-phosphate 5-kinase 9	0	M0039	0.103631965462112
Paternally-expressed gene 3 protein	Prolyl 4-hydroxylase subunit alpha-1	0	M0039	0.0239327963426266
Paternally-expressed gene 3 protein	UDP-glucuronosyltransferase 1-2	0	M0039	0.052199581589273
Paternally-expressed gene 3 protein	DNA replication licensing factor mcm4-A	0	M0039	0.107730513154822
Paternally-expressed gene 3 protein	Protein IWS1 homolog	0	M0039	0.0130484161343776
Paternally-expressed gene 3 protein	MORN repeat-containing protein 2	0	M0039	0.0398388462161048
Paternally-expressed gene 3 protein	Ankyrin repeat domain-containing protein 49	0	M0039	0.0203126241659376
Paternally-expressed gene 3 protein	Ubiquitin-related modifier 1 {ECO:0000255|HAMAP-Rule:MF_03048}	0	M0039	0.0833469071603478
Paternally-expressed gene 3 protein	DNA-(apurinic or apyrimidinic site) lyase	0	M0039	0.144510254142222
Paternally-expressed gene 3 protein	Chitinase 3	0	M0039	0.0169208314134697
Paternally-expressed gene 3 protein	Cleft lip and palate transmembrane protein 1-like protein	0	M0039	0.0199271962200603
Paternally-expressed gene 3 protein	Telomerase protein component 1	0	M0039	0.0974293314836099
Paternally-expressed gene 3 protein	Fanconi anemia group M protein	0	M0039	0.0330071516539604
Paternally-expressed gene 3 protein	Sister chromatid cohesion protein DCC1	0	M0039	0.0291944109956714
Paternally-expressed gene 3 protein	Cysteine-rich protein 2-binding protein	0	M0039	0.076292142236611
Paternally-expressed gene 3 protein	Putative 115 kDa protein in type-1 retrotransposable element R1DM	0	M0039	0.162971886794526
Paternally-expressed gene 3 protein	NADPH-dependent diflavin oxidoreductase 1 {ECO:0000255|HAMAP-Rule:MF_03178}	0	M0039	0.0855932830274582
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_001813-tr}	0	M0039	0.069308964440506
Paternally-expressed gene 3 protein	Transmembrane protease serine 6	0	M0039	0.0837746978577002
Paternally-expressed gene 3 protein	Tenascin-R	0	M0039	0.156876310980628
Paternally-expressed gene 3 protein	CUGBP Elav-like family member 2	0	M0039	0.163670088853103
Paternally-expressed gene 3 protein	DNA repair and recombination protein RAD54-like	0	M0039	0.0563538674475791
Paternally-expressed gene 3 protein	Probable RNA-directed DNA polymerase from transposon X-element	0	M0039	0.116821860058394
Paternally-expressed gene 3 protein	Diphthine--ammonia ligase	0	M0039	0.0700505655793994
Paternally-expressed gene 3 protein	Checkpoint protein HUS1	0	M0039	0.116533906741853
Paternally-expressed gene 3 protein	HAUS augmin-like complex subunit 4	0	M0039	0.0226892597970562
Paternally-expressed gene 3 protein	Histidine triad nucleotide-binding protein 1	0	M0039	0.0478419928602419
Paternally-expressed gene 3 protein	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	0	M0039	0.0727476391499451
Paternally-expressed gene 3 protein	3-hydroxyacyl-CoA dehydrogenase type-2	0	M0039	0.0411756870385316
Paternally-expressed gene 3 protein	"Carnitine O-palmitoyltransferase 2, mitochondrial"	0	M0039	0.0537603474129773
Paternally-expressed gene 3 protein	Intraflagellar transport protein 22 homolog	0	M0039	0.011731514571346
Paternally-expressed gene 3 protein	Integrator complex subunit 9 homolog	0	M0039	0.0175746311242966
Paternally-expressed gene 3 protein	DNA repair and recombination protein RAD54-like	0	M0039	0.139595250092649
Paternally-expressed gene 3 protein	E3 SUMO-protein ligase ZNF451 {ECO:0000305|PubMed:26524493}	0	M0039	0.0392610699433524
Paternally-expressed gene 3 protein	Integrator complex subunit 11	0	M0039	0.0243612308068625
Paternally-expressed gene 3 protein	Transitional endoplasmic reticulum ATPase	0	M0039	0.107696903973181
Paternally-expressed gene 3 protein	"Dynein intermediate chain 2, ciliary"	0	M0039	0.0446690607867426
Paternally-expressed gene 3 protein	UDP-glucose 6-dehydrogenase	0	M0039	0.120028424332818
Paternally-expressed gene 3 protein	"Isovaleryl-CoA dehydrogenase, mitochondrial"	0	M0039	0.0321848148164289
Paternally-expressed gene 3 protein	Variant surface antigen E	0	M0039	0.0338418851620175
Paternally-expressed gene 3 protein	Matrilin-2	0	M0039	0.0886129738417831
Paternally-expressed gene 3 protein	Neuronal acetylcholine receptor subunit alpha-5	0	M0039	0.108288466460364
Paternally-expressed gene 3 protein	"Testis, prostate and placenta-expressed protein"	0	M0039	0.0333865982292718
Paternally-expressed gene 3 protein	T-cell immunomodulatory protein	0	M0039	0.0620705638607699
Paternally-expressed gene 3 protein	No_Description	0	M0039	0.0207548303160234
Paternally-expressed gene 3 protein	Cohesin subunit SA-1	0	M0039	0.162706626774559
Paternally-expressed gene 3 protein	Octopamine receptor beta-1R	0	M0039	0.0350867192276145
Paternally-expressed gene 3 protein	Serine/threonine kinase-like domain-containing protein STKLD1	0	M0039	0.153737912303031
Paternally-expressed gene 3 protein	No_Description	0	M0039	0.183413539551516
Paternally-expressed gene 3 protein	uncharacterized protein LOC106175327 {ECO:0000313|RefSeq:XP_013412722.1}	0	M0039	0.129155168389441
Paternally-expressed gene 3 protein	Collagen triple helix repeat-containing protein 1	0	M0039	0.0327897372057591
Paternally-expressed gene 3 protein	Probable helicase senataxin {ECO:0000305}	0	M0039	0.0533618222221377
Paternally-expressed gene 3 protein	TNF receptor-associated factor 4	0	M0039	0.0495257422636369
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EMBL:ESW24283.1}	0	M0039	0.0779214809034589
Paternally-expressed gene 3 protein	"Acyl-CoA synthetase family member 2, mitochondrial"	0	M0039	0.120773089492331
Paternally-expressed gene 3 protein	Protein MMS22-like	0	M0039	0.142455154955226
Paternally-expressed gene 3 protein	Chymotrypsinogen B	0	M0039	0.062052511966326
Paternally-expressed gene 3 protein	X-ray repair cross-complementing protein 5	0	M0039	0.014611476354133
Paternally-expressed gene 3 protein	Proteasome subunit alpha type-1	0	M0039	0.12377040744222
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_024592-tr}	0	M0039	0.0707343350794386
Paternally-expressed gene 3 protein	Putative leucine-rich repeat-containing protein DDB_G0290503	0	M0039	0.141405135142221
Paternally-expressed gene 3 protein	Protein canopy homolog 4	0	M0039	0.138704458583766
Paternally-expressed gene 3 protein	GPI transamidase component PIG-T	0	M0039	0.0167146943111768
Paternally-expressed gene 3 protein	Translin	0	M0039	0.0718636100922654
Paternally-expressed gene 3 protein	Protein CfxQ	0	M0039	0.041199078036352
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EMBL:EEN51518.1}	0	M0039	0.150652371919642
Paternally-expressed gene 3 protein	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_016145-tr}	0	M0039	0.115965945229717
Paternally-expressed gene 3 protein	Conserved oligomeric Golgi complex subunit 6	0	M0039	0.0528273974320868
Paternally-expressed gene 3 protein	Tyrocidine synthase 2	0	M0039	0.134588525831346
Paternally-expressed gene 3 protein	Shematrin-like protein 1	0	M0039	0.0334621799929015
Paternally-expressed gene 3 protein	No_Description	0	M0039	0.0980787419272028
Paternally-expressed gene 3 protein	Putative IQ motif and ankyrin repeat domain-containing protein LOC642574	0	M0039	0.102562140162352
Paternally-expressed gene 3 protein	Small subunit processome component 20 homolog	0	M0039	0.0866186934069579
