ContigName	Description
jgi|Nemve1|100515|e_gw.57.2.1	Proteasome-associated protein ECM29 homolog
jgi|Nemve1|100525|e_gw.57.130.1	Coiled-coil domain-containing protein 130
jgi|Nemve1|100526|e_gw.57.175.1	RNA exonuclease 1 homolog
jgi|Nemve1|100529|e_gw.57.159.1	Protein DD3-3
jgi|Nemve1|100552|e_gw.57.203.1	Glutamine-rich protein 2
jgi|Nemve1|100576|e_gw.57.165.1	"Creatine kinase, testis isozyme"
jgi|Nemve1|100591|e_gw.58.223.1	Dipeptidyl peptidase 4
jgi|Nemve1|100664|e_gw.58.232.1	Uncharacterized protein {ECO:0000313|VectorBase:BGLB006754-PA}
jgi|Nemve1|10066|gw.302.2.1	Ribonuclease 3
jgi|Nemve1|100670|e_gw.58.199.1	Peroxisomal trans-2-enoyl-CoA reductase
jgi|Nemve1|100691|e_gw.58.181.1	Kinesin-like protein KIF28P
jgi|Nemve1|100694|e_gw.58.64.1	Thioredoxin-related transmembrane protein 1
jgi|Nemve1|100698|e_gw.58.157.1	"Succinate dehydrogenase assembly factor 3, mitochondrial {ECO:0000250|UniProtKB:Q04401}"
jgi|Nemve1|100700|e_gw.58.149.1	No_Description
jgi|Nemve1|100701|e_gw.58.291.1	MICAL-like protein 2
jgi|Nemve1|100712|e_gw.58.35.1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial"
jgi|Nemve1|100717|e_gw.58.270.1	Variable charge X-linked protein 3B
jgi|Nemve1|100718|e_gw.58.19.1	tRNA wybutosine-synthesizing protein 4
jgi|Nemve1|10072|gw.164.3.1	Nuclear export mediator factor Nemf
jgi|Nemve1|100734|e_gw.58.107.1	Ubiquitin carboxyl-terminal hydrolase MINDY-3
jgi|Nemve1|100737|e_gw.58.225.1	Cytochrome P450 20A1
jgi|Nemve1|100746|e_gw.58.327.1	Melanoma-associated antigen D1
jgi|Nemve1|100753|e_gw.58.86.1	Meiosis-specific coiled-coil domain-containing protein MEIOC {ECO:0000305}
jgi|Nemve1|100754|e_gw.58.330.1	Coagulation factor V
jgi|Nemve1|100769|e_gw.58.166.1	Beclin-1
jgi|Nemve1|100779|e_gw.58.161.1	Serine/threonine-protein kinase DCLK3
jgi|Nemve1|100782|e_gw.58.44.1	GPI mannosyltransferase 4
jgi|Nemve1|100799|e_gw.58.357.1	SUMO-specific isopeptidase USPL1
jgi|Nemve1|100805|e_gw.58.108.1	Origin recognition complex subunit 2
jgi|Nemve1|100809|e_gw.58.226.1	DNA-directed RNA polymerase II subunit RPB1
jgi|Nemve1|100815|e_gw.58.10.1	GFP-like fluorescent chromoprotein cFP484
jgi|Nemve1|100834|e_gw.58.191.1	Serine/threonine-protein kinase DCLK3
jgi|Nemve1|100868|e_gw.58.133.1	Keratin-associated protein 12-2
jgi|Nemve1|100869|e_gw.58.32.1	Syndetin {ECO:0000250|UniProtKB:Q96JG6}
jgi|Nemve1|100873|e_gw.58.24.1	UBX domain-containing protein 4
jgi|Nemve1|100890|e_gw.58.104.1	Collagen alpha-1(IV) chain
jgi|Nemve1|100892|e_gw.58.230.1	H2.0-like homeobox protein
jgi|Nemve1|100901|e_gw.58.189.1	SPARC-related modular calcium-binding protein 1
jgi|Nemve1|100902|e_gw.58.324.1	Hemerythrin-like protein
jgi|Nemve1|100921|e_gw.58.171.1	Adhesive plaque matrix protein
jgi|Nemve1|100925|e_gw.58.54.1	Prolyl endopeptidase FAP {ECO:0000305}
jgi|Nemve1|10094|gw.178.1.1	Membrane-bound transcription factor site-1 protease
jgi|Nemve1|100968|e_gw.59.167.1	Proteoglycan 4
jgi|Nemve1|100982|e_gw.59.154.1	"28S ribosomal protein S22, mitochondrial"
jgi|Nemve1|101000|e_gw.59.50.1	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:ACYPI36576-PA}
jgi|Nemve1|101005|e_gw.59.117.1	Ribosomal protein L31-like protein {ECO:0000313|EMBL:AFU17230.1}
jgi|Nemve1|101008|e_gw.59.109.1	Melatonin receptor type 1B-B
jgi|Nemve1|101013|e_gw.59.90.1	Mitofusin-2
jgi|Nemve1|101020|e_gw.59.66.1	AP-3 complex subunit sigma-1
jgi|Nemve1|101023|e_gw.59.21.1	Cholesterol 24-hydroxylase
jgi|Nemve1|101025|e_gw.59.13.1	Echinoderm microtubule-associated protein-like 2
jgi|Nemve1|101028|e_gw.59.160.1	Protein B602L
jgi|Nemve1|101050|e_gw.59.85.1	Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog A
jgi|Nemve1|101055|e_gw.59.69.1	Failed axon connections homolog
jgi|Nemve1|101069|e_gw.59.139.1	Transcription elongation factor SPT5
jgi|Nemve1|10106|gw.169.3.1	Fanconi anemia group D2 protein homolog
jgi|Nemve1|101072|e_gw.59.48.1	Substance-K receptor
jgi|Nemve1|101077|e_gw.59.150.1	Protein ELYS
jgi|Nemve1|101079|e_gw.59.142.1	General transcription factor IIH subunit 2
jgi|Nemve1|10108|gw.163.2.1	Multidrug resistance-associated protein 1
jgi|Nemve1|101093|e_gw.59.182.1	CUB and peptidase domain-containing protein 1 {ECO:0000303|PubMed:23765379}
jgi|Nemve1|101105|e_gw.59.22.1	Cholesterol 24-hydroxylase
jgi|Nemve1|101112|e_gw.59.70.1	Failed axon connections homolog
jgi|Nemve1|101120|e_gw.59.46.1	Neuropeptide FF receptor 2
jgi|Nemve1|101124|e_gw.59.202.1	Proteasome subunit beta type-6
jgi|Nemve1|101127|e_gw.59.140.1	Craniofacial development protein 2
jgi|Nemve1|10112|gw.209.7.1	Probable phospholipid-transporting ATPase IIB
jgi|Nemve1|101137|e_gw.59.33.1	Kazrin
jgi|Nemve1|10113|gw.217.3.1	Pappalysin-1
jgi|Nemve1|10114|gw.208.2.1	Nipped-B-like protein
jgi|Nemve1|101150|e_gw.59.65.1	Fucolectin-4
jgi|Nemve1|101157|e_gw.59.9.1	LisH domain-containing protein ARMC9
jgi|Nemve1|101175|e_gw.60.69.1	Uncharacterized gene 81 protein
jgi|Nemve1|101176|e_gw.60.8.1	Zinc finger protein 431
jgi|Nemve1|10117|gw.267.1.1	Protein scribble homolog
jgi|Nemve1|101187|e_gw.60.48.1	Polyprenol reductase
jgi|Nemve1|101190|e_gw.60.51.1	DTW domain-containing protein 2
jgi|Nemve1|101196|e_gw.60.139.1	Fucolectin
jgi|Nemve1|101205|e_gw.60.142.1	Uncharacterized protein {ECO:0000313|EMBL:KFD56253.1}
jgi|Nemve1|101218|e_gw.60.121.1	Death-associated protein kinase 2
jgi|Nemve1|10122|gw.302.3.1	Potassium channel subfamily T member 1
jgi|Nemve1|101232|e_gw.60.202.1	Guanine deaminase
jgi|Nemve1|101238|e_gw.60.65.1	Rhodopsin
jgi|Nemve1|101242|e_gw.60.49.1	U11/U12 small nuclear ribonucleoprotein 35 kDa protein
jgi|Nemve1|101252|e_gw.60.36.1	Neuropeptide FF receptor 2
jgi|Nemve1|10127|gw.62.13.1	DNA polymerase subunit gamma-1
jgi|Nemve1|10128|gw.448.7.1	Vesicular glutamate transporter 2
jgi|Nemve1|10129|gw.175.28.1	Phospholipid-transporting ATPase IA
jgi|Nemve1|101334|e_gw.60.209.1	Chymotrypsin-like elastase family member 3B
jgi|Nemve1|101342|e_gw.60.83.1	A disintegrin and metalloproteinase with thrombospondin motifs 17
jgi|Nemve1|101371|e_gw.60.129.1	"Uncharacterized protein {ECO:0000313|EMBL:EOD07954.1, ECO:0000313|EnsemblProtists:EOD07954}"
jgi|Nemve1|101376|e_gw.60.239.1	Uncharacterized protein PFD1115c
jgi|Nemve1|101383|e_gw.60.108.1	A disintegrin and metalloproteinase with thrombospondin motifs 17
jgi|Nemve1|101391|e_gw.60.111.1	Potassium channel subfamily K member 9
jgi|Nemve1|10139|gw.330.1.1	Ubiquitin carboxyl-terminal hydrolase 24
jgi|Nemve1|101406|e_gw.60.183.1	A-kinase anchor protein 5
jgi|Nemve1|101414|e_gw.60.39.1	Latent-transforming growth factor beta-binding protein 2
jgi|Nemve1|101427|e_gw.60.18.1	A disintegrin and metalloproteinase with thrombospondin motifs 12
jgi|Nemve1|10142|gw.297.2.1	Transcription initiation factor TFIID subunit 2
jgi|Nemve1|101438|e_gw.60.109.1	Uncharacterized protein {ECO:0000313|EMBL:OHS94978.1}
jgi|Nemve1|101455|e_gw.61.268.1	Multidrug resistance protein homolog 49
jgi|Nemve1|101462|e_gw.61.129.1	Thioredoxin domain-containing protein 3 homolog
jgi|Nemve1|101464|e_gw.61.35.1	"Dynein heavy chain 6, axonemal"
jgi|Nemve1|101484|e_gw.61.218.1	Angiopoietin-related protein 6
jgi|Nemve1|101494|e_gw.61.94.1	Paternally-expressed gene 3 protein
jgi|Nemve1|101495|e_gw.61.323.1	Palmitoyltransferase AKR1
jgi|Nemve1|101503|e_gw.61.183.1	EGF-like repeat and discoidin I-like domain-containing protein 3
jgi|Nemve1|101511|e_gw.61.65.1	Protein sidekick-1 {ECO:0000303|PubMed:12230981}
jgi|Nemve1|101514|e_gw.61.49.1	"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
jgi|Nemve1|101518|e_gw.61.170.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSORLP00000023589}
jgi|Nemve1|101521|e_gw.61.60.1	"Arginine-hydroxylase NDUFAF5, mitochondrial"
jgi|Nemve1|101522|e_gw.61.146.1	"Dynein heavy chain 6, axonemal"
jgi|Nemve1|101531|e_gw.61.256.1	AP-2 complex subunit sigma
jgi|Nemve1|101543|e_gw.61.243.1	C-reactive protein 1.1
jgi|Nemve1|101547|e_gw.61.120.1	E3 ubiquitin-protein ligase Mdm2
jgi|Nemve1|101565|e_gw.61.299.1	Uncharacterized protein {ECO:0000313|VectorBase:BGLB005269-PA}
jgi|Nemve1|101576|e_gw.61.66.1	No_description
jgi|Nemve1|101591|e_gw.61.37.1	histidine-rich glycoprotein-like {ECO:0000313|RefSeq:XP_014046625.1}
jgi|Nemve1|101593|e_gw.61.29.1	Protein SON
jgi|Nemve1|101604|e_gw.61.24.1	DNA polymerase eta
jgi|Nemve1|101611|e_gw.61.121.1	Homeobox protein Hox-A3
jgi|Nemve1|101614|e_gw.61.105.1	Leukotoxin
jgi|Nemve1|101636|e_gw.61.169.1	"Ankyrin repeat, PH and SEC7 domain containing protein secG"
jgi|Nemve1|101641|e_gw.61.295.1	Uncharacterized 26.4 kDa protein
jgi|Nemve1|101645|e_gw.61.172.1	Dickkopf-related protein 3
jgi|Nemve1|101648|e_gw.61.156.1	"Dynein heavy chain 6, axonemal"
jgi|Nemve1|101662|e_gw.61.41.1	RAS guanyl-releasing protein 1
jgi|Nemve1|101664|e_gw.61.33.1	Homeobox protein Hmx
jgi|Nemve1|101676|e_gw.61.3.1	Retinoic acid receptor RXR-gamma-A
jgi|Nemve1|101677|e_gw.61.114.1	Coadhesin {ECO:0000303|PubMed:23765379}
jgi|Nemve1|101680|e_gw.61.12.1	Homeobox even-skipped homolog protein 1
jgi|Nemve1|101684|e_gw.61.216.1	G protein-activated inward rectifier potassium channel 2
jgi|Nemve1|101701|e_gw.61.76.1	Intraflagellar transport protein 43 homolog A
jgi|Nemve1|101711|e_gw.61.300.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSCSAVP00000005262}
jgi|Nemve1|101713|e_gw.61.149.1	Solute carrier family 22 member 5
jgi|Nemve1|101715|e_gw.61.55.1	Organic cation transporter-like protein
jgi|Nemve1|101727|e_gw.61.42.1	N-chimaerin
jgi|Nemve1|101730|e_gw.61.9.1	Homeotic protein proboscipedia
jgi|Nemve1|101731|e_gw.61.34.1	Motor neuron and pancreas homeobox protein 1
jgi|Nemve1|101739|e_gw.61.123.1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4"
jgi|Nemve1|101740|e_gw.61.4.1	Homeobox protein Hox-A7
jgi|Nemve1|101762|e_gw.61.322.1	BTB/POZ domain-containing protein At2g30600
jgi|Nemve1|101764|e_gw.61.314.1	histidine-rich glycoprotein-like {ECO:0000313|RefSeq:XP_014065427.1}
jgi|Nemve1|101766|e_gw.61.306.1	Deoxyguanosine kinase
jgi|Nemve1|101792|e_gw.62.208.1	Ras-like GTP-binding protein YPT1
jgi|Nemve1|101796|e_gw.62.211.1	Fibropellin-1
jgi|Nemve1|101809|e_gw.62.2.1	Peptidyl-glycine alpha-amidating monooxygenase A
jgi|Nemve1|101837|e_gw.62.31.1	"RNA-binding protein Musashi homolog Rbp6 {ECO:0000250|UniProtKB:Q920Q6, ECO:0000303|PubMed:8417324}"
jgi|Nemve1|101859|e_gw.62.182.1	Gamma-aminobutyric acid receptor subunit beta-2
jgi|Nemve1|101864|e_gw.62.3.1	Carbonic anhydrase 2
jgi|Nemve1|101894|e_gw.62.24.1	Uncharacterized protein {ECO:0000313|Ensembl:ENSDARP00000135086}
jgi|Nemve1|101900|e_gw.62.103.1	Transcription factor Sp3
jgi|Nemve1|101914|e_gw.62.167.1	DNA oxidative demethylase ALKBH2
jgi|Nemve1|101920|e_gw.62.67.1	Vacuole membrane protein 1
jgi|Nemve1|101934|e_gw.62.256.1	Uncharacterized protein {ECO:0000313|EMBL:EGV33791.1}
jgi|Nemve1|10193|gw.279.7.1	Exocyst complex component 3
jgi|Nemve1|101945|e_gw.62.243.1	Protein ras-2
jgi|Nemve1|101955|e_gw.62.230.1	Neurogenic locus Notch protein
jgi|Nemve1|101967|e_gw.62.176.1	Fibropellin-1
jgi|Nemve1|101975|e_gw.62.163.1	Syntenin-1
jgi|Nemve1|101998|e_gw.62.26.1	Ligand-independent activating molecule for estrogen receptor {ECO:0000313|EMBL:AAN63608.1}
jgi|Nemve1|10204|gw.292.16.1	26S proteasome non-ATPase regulatory subunit 2
jgi|Nemve1|102060|e_gw.63.184.1	G-protein coupled receptor Mth2
jgi|Nemve1|102068|e_gw.63.94.1	DNA polymerase zeta catalytic subunit
jgi|Nemve1|102076|e_gw.63.171.1	LanC-like protein 3
jgi|Nemve1|102079|e_gw.63.163.1	Protein TFG
jgi|Nemve1|102086|e_gw.63.81.1	DNA polymerase zeta catalytic subunit
jgi|Nemve1|10208|gw.198.2.1	Multidrug resistance-associated protein 4
jgi|Nemve1|102092|e_gw.63.57.1	Zinc finger protein 514
jgi|Nemve1|102093|e_gw.63.12.1	Pyridoxal kinase
jgi|Nemve1|102094|e_gw.63.204.1	No_Description
jgi|Nemve1|102109|e_gw.63.44.1	Probable tubulin polyglutamylase TTLL2
jgi|Nemve1|102123|e_gw.63.76.1	Hepatoma-derived growth factor-related protein 3
jgi|Nemve1|102137|e_gw.63.129.1	Nucleoporin NUP152 {ECO:0000303|PubMed:21784248}
jgi|Nemve1|102160|e_gw.63.79.1	Histone-lysine N-methyltransferase SMYD3
jgi|Nemve1|102161|e_gw.63.34.1	Peroxidasin homolog
jgi|Nemve1|102167|e_gw.63.18.1	Transient receptor potential cation channel subfamily M member 3
jgi|Nemve1|102182|e_gw.63.205.1	Polyamine oxidase
jgi|Nemve1|102188|e_gw.63.135.1	Zonadhesin
jgi|Nemve1|102193|e_gw.63.53.1	D(1A) dopamine receptor
jgi|Nemve1|102199|e_gw.63.29.1	Polycomb protein eed-A
jgi|Nemve1|102204|e_gw.63.114.1	Putative ammonium transporter 3
jgi|Nemve1|102205|e_gw.63.159.1	Dynein heavy chain {ECO:0000313|EMBL:KHN01757.1}
jgi|Nemve1|102206|e_gw.63.5.1	"Dynein heavy chain 8, axonemal"
jgi|Nemve1|102215|e_gw.63.216.1	5-methylcytosine rRNA methyltransferase NSUN4
jgi|Nemve1|102219|e_gw.63.16.1	"Adrenodoxin, mitochondrial"
jgi|Nemve1|102231|e_gw.63.203.1	Pollen Ole e 1 allergen/extensin {ECO:0000313|EMBL:KVI08379.1}
jgi|Nemve1|102255|e_gw.63.157.1	Vacuolar protein sorting-associated protein 13A
jgi|Nemve1|102256|e_gw.63.112.1	Cysteine and histidine-rich domain-containing protein 1
jgi|Nemve1|102258|e_gw.63.149.1	Uncharacterized protein {ECO:0000313|EMBL:EDK44542.1}
jgi|Nemve1|102270|e_gw.63.206.1	No_Description
jgi|Nemve1|102277|e_gw.64.41.1	Something about silencing protein 10
jgi|Nemve1|102284|e_gw.64.198.1	Ribosome-binding protein 1
jgi|Nemve1|102291|e_gw.64.81.1	Transposon TX1 uncharacterized 149 kDa protein
jgi|Nemve1|102295|e_gw.64.20.1	AP-1 complex subunit gamma-1
jgi|Nemve1|102314|e_gw.64.172.1	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_013425-tr}
jgi|Nemve1|102323|e_gw.64.148.1	Golgi-associated plant pathogenesis-related protein 1
jgi|Nemve1|102324|e_gw.64.92.1	Spermine synthase
jgi|Nemve1|102330|e_gw.64.68.1	Nitric oxide synthase
jgi|Nemve1|102337|e_gw.64.135.1	histidine-rich glycoprotein-like {ECO:0000313|RefSeq:XP_012877326.1}
jgi|Nemve1|102350|e_gw.64.39.1	Craniofacial development protein 2
jgi|Nemve1|102353|e_gw.64.159.1	"Creatine kinase S-type, mitochondrial"
jgi|Nemve1|102355|e_gw.64.106.1	Uncharacterized protein K02A2.6
jgi|Nemve1|102365|e_gw.64.34.1	Predicted protein {ECO:0000313|EMBL:EFH49121.1}
jgi|Nemve1|102373|e_gw.64.138.1	Putative retrotransposon-like family member retr-1-like protein {ECO:0000313|EMBL:JAC13967.1}
jgi|Nemve1|102384|e_gw.64.13.1	Latrophilin Cirl {ECO:0000250|UniProtKB:A1Z7G7}
jgi|Nemve1|102423|e_gw.64.128.1	Ice nucleation protein
jgi|Nemve1|10242|gw.223.3.1	KICSTOR complex protein SZT2 {ECO:0000305}
jgi|Nemve1|102435|e_gw.64.168.1	"Rhodopsin, GQ-coupled"
jgi|Nemve1|102453|e_gw.64.102.1	Uncharacterized protein {ECO:0000313|EnsemblMetazoa:SPU_005454-tr}
jgi|Nemve1|102466|e_gw.64.59.1	AP-1 complex subunit gamma-1
jgi|Nemve1|102472|e_gw.64.126.1	Lactadherin
jgi|Nemve1|102476|e_gw.64.190.1	Uncharacterized protein {ECO:0000313|EMBL:SBS10469.1}
jgi|Nemve1|102478|e_gw.64.182.1	Venom prothrombin activator oscutarin-C non-catalytic subunit
jgi|Nemve1|10247|gw.122.2.1	Protein dopey-1
jgi|Nemve1|102482|e_gw.64.38.1	"Alpha-(1,3)-fucosyltransferase 5"
jgi|Nemve1|102483|e_gw.64.166.1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
jgi|Nemve1|102486|e_gw.64.113.1	Lactadherin
jgi|Nemve1|102487|e_gw.64.105.1	Uncharacterized protein {ECO:0000313|EMBL:JAI56761.1}
jgi|Nemve1|102493|e_gw.65.7.1	Rab effector Noc2
jgi|Nemve1|102501|e_gw.65.162.1	No_Description
jgi|Nemve1|102518|e_gw.65.194.1	Protease inhibitor carrapatin
jgi|Nemve1|102520|e_gw.65.186.1	E3 ubiquitin-protein ligase CHFR
jgi|Nemve1|102530|e_gw.65.117.1	T-box transcription factor TBX3
jgi|Nemve1|102533|e_gw.65.243.1	Caltractin
jgi|Nemve1|102557|e_gw.65.160.1	Otogelin
jgi|Nemve1|102562|e_gw.65.42.1	Solute carrier family 12 member 9
jgi|Nemve1|102563|e_gw.65.189.1	Ectin {ECO:0000303|PubMed:23765379}
jgi|Nemve1|102575|e_gw.65.82.1	"Splicing factor, suppressor of white-apricot homolog"
jgi|Nemve1|102584|e_gw.65.123.1	Uncharacterized protein {ECO:0000313|EMBL:KFZ59966.1}
jgi|Nemve1|102586|e_gw.65.13.1	"S-acyl fatty acid synthase thioesterase, medium chain"
jgi|Nemve1|102592|e_gw.65.225.1	Coagulation factor VIII
jgi|Nemve1|102593|e_gw.65.217.1	DNA topoisomerase 2-binding protein 1-A
jgi|Nemve1|102596|e_gw.65.61.1	P2X purinoceptor 4
jgi|Nemve1|10259|gw.236.1.1	Exocyst complex component 4
jgi|Nemve1|102600|e_gw.65.155.1	Kunitz-type serine protease inhibitor C3
jgi|Nemve1|102611|e_gw.65.204.1	uncharacterized protein LOC106179805 {ECO:0000313|RefSeq:XP_013419027.1}
jgi|Nemve1|102616|e_gw.65.195.1	Fibrillin-1
jgi|Nemve1|102619|e_gw.65.142.1	Glucose-dependent insulinotropic receptor
jgi|Nemve1|102625|e_gw.65.24.1	Brefeldin A-inhibited guanine nucleotide-exchange protein 2
jgi|Nemve1|102635|e_gw.65.182.1	Tachykinin-like peptides receptor 86C
jgi|Nemve1|102638|e_gw.65.64.1	Mediator of RNA polymerase II transcription subunit 15
jgi|Nemve1|102645|e_gw.65.158.1	SCO-spondin
jgi|Nemve1|102646|e_gw.65.105.1	Coagulation factor V
jgi|Nemve1|102648|e_gw.65.231.1	No_Description
jgi|Nemve1|102653|e_gw.65.161.1	Mediator of RNA polymerase II transcription subunit 13-like
jgi|Nemve1|102666|e_gw.65.19.1	Rab effector Noc2
jgi|Nemve1|102677|e_gw.65.30.1	Acyl-CoA dehydrogenase family member 10
jgi|Nemve1|102678|e_gw.65.67.1	"Sterol 26-hydroxylase, mitochondrial"
jgi|Nemve1|102703|e_gw.65.46.1	GATOR complex protein DEPDC5 {ECO:0000305}
jgi|Nemve1|102706|e_gw.65.148.1	Uncharacterized protein {ECO:0000313|EMBL:AKT38828.1}
jgi|Nemve1|10271|gw.212.3.1	Condensin complex subunit 1
jgi|Nemve1|102728|e_gw.65.191.1	Coagulation factor VIII
jgi|Nemve1|102735|e_gw.65.130.1	SMC5-SMC6 complex localization factor protein 1 {ECO:0000312|HGNC:HGNC:25408}
jgi|Nemve1|102745|e_gw.66.184.1	Putative nuclear pore proteinucleoporin 62 {ECO:0000313|EMBL:JAC27310.1}
jgi|Nemve1|102755|e_gw.66.68.1	Tropomodulin-1
jgi|Nemve1|102782|e_gw.66.150.1	Neuropeptide Y receptor type 1
